crystalline_polished,,crystalline_nonpolished,,amorphous,,crystalline_coated,,crystalline_coated2,,crystalline_pyramid,,crystalline_black,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
1953,77.77854156,1953,75.07423401,1953,73.68769073,1953,36.24523544,1953,25.84678268,1953,22.41818237,1953,61.20378494,
1952,77.63812256,1952,75.51136017,1952,73.24654388,1952,36.22849274,1952,25.83670998,1952,22.20763588,1952,61.07650375,
1951,77.71536255,1951,75.37088013,1951,72.93077087,1951,36.37220001,1951,26.11034203,1951,22.2477951,1951,61.23675537,
1950,77.65945435,1950,75.40338898,1950,72.38013458,1950,36.3088913,1950,25.76512909,1950,22.37200165,1950,61.20499802,
1949,77.67436218,1949,75.22724915,1949,71.68078613,1949,36.35082245,1949,25.86500359,1949,22.33608437,1949,61.11042404,
1948,77.79769897,1948,75.46465302,1948,71.13466644,1948,36.13470459,1948,25.95910072,1948,22.28577042,1948,61.00075912,
1947,77.84414673,1947,75.42118073,1947,70.66303253,1947,36.18361664,1947,25.85561371,1947,22.27564049,1947,61.03385162,
1946,77.6616745,1946,75.53392792,1946,70.26714325,1946,36.49836349,1946,25.76355934,1946,22.51050758,1946,60.87966537,
1945,77.6343689,1945,75.19044495,1945,69.70373535,1945,36.26893616,1945,25.78985405,1945,22.21529388,1945,61.01363373,
1944,77.8429718,1944,75.42254639,1944,69.10749817,1944,36.22268295,1944,25.97372246,1944,22.19265938,1944,61.12496185,
1943,77.73722076,1943,75.53668213,1943,68.83003998,1943,36.58032608,1943,25.8681469,1943,22.42902184,1943,61.09156036,
1942,77.94551086,1942,75.39862823,1942,68.14077759,1942,36.47276306,1942,25.81180573,1942,22.33841324,1942,61.20163727,
1941,77.75099945,1941,75.46797943,1941,67.53583527,1941,36.34931946,1941,25.93875504,1941,22.31486511,1941,60.97393799,
1940,77.5137558,1940,75.35115051,1940,66.79727936,1940,36.24705505,1940,26.01516342,1940,22.58132172,1940,61.22714996,
1939,77.92084503,1939,75.32710266,1939,66.19663239,1939,36.26512527,1939,25.92919731,1939,22.32797241,1939,61.18070984,
1938,77.87126923,1938,75.57874298,1938,65.73290253,1938,36.57373047,1938,25.87975883,1938,22.45600891,1938,61.02808762,
1937,77.82375336,1937,75.36575317,1937,65.11382294,1937,36.336689,1937,25.69393158,1937,22.2199688,1937,61.0933075,
1936,77.63097382,1936,75.42221069,1936,64.64572906,1936,36.2849884,1936,25.7922554,1936,22.44354057,1936,61.21919632,
1935,77.59555054,1935,75.34699249,1935,63.92805099,1935,36.3077774,1935,25.90531921,1935,22.34770584,1935,60.98449707,
1934,77.7403183,1934,75.36341095,1934,63.27980042,1934,36.4624939,1934,25.89697456,1934,22.60508156,1934,61.15552902,
1933,77.72375488,1933,75.4212265,1933,62.71452332,1933,36.41524506,1933,25.98885918,1933,22.36161423,1933,61.30394363,
1932,77.74501801,1932,75.31201172,1932,62.00063705,1932,36.45570374,1932,25.91757774,1932,22.50405312,1932,61.02179718,
1931,77.36734009,1931,75.32230377,1931,61.18944931,1931,36.3850975,1931,25.92554665,1931,22.31056023,1931,61.02159119,
1930,77.5515213,1930,75.25356293,1930,60.75679779,1930,36.41883469,1930,25.98575592,1930,22.41616058,1930,61.16234589,
1929,77.91229248,1929,75.39600372,1929,60.23443222,1929,36.26185608,1929,25.80725288,1929,22.30727768,1929,60.83378601,
1928,77.77675629,1928,75.57914734,1928,59.46453094,1928,36.39221191,1928,25.9895916,1928,22.38647842,1928,61.32813263,
1927,77.71040344,1927,75.46875,1927,59.01292419,1927,36.4118309,1927,25.91862106,1927,22.37980843,1927,61.14440536,
1926,77.54223633,1926,75.46813202,1926,58.13705826,1926,36.39361191,1926,25.84540176,1926,22.40605354,1926,61.12957001,
1925,77.73274231,1925,75.50495911,1925,57.61135101,1925,36.5212326,1925,25.94260597,1925,22.35567284,1925,61.06318665,
1924,77.77658081,1924,75.41978455,1924,56.72646713,1924,36.17460251,1924,25.79000282,1924,22.52477264,1924,61.14336777,
1923,77.7489624,1923,75.43260956,1923,56.12946701,1923,36.35973358,1923,26.08308792,1923,22.52554703,1923,61.07893753,
1922,77.79184723,1922,75.51815033,1922,55.6343689,1922,36.6099472,1922,25.85013771,1922,22.61235809,1922,61.20731735,
1921,77.49967957,1921,75.3752594,1921,54.71991348,1921,36.42272186,1921,25.89772034,1921,22.46401215,1921,61.13914108,
1920,77.56565857,1920,75.22897339,1920,53.96972275,1920,36.36244202,1920,25.88669968,1920,22.31373024,1920,61.06767654,
1919,77.58934784,1919,75.28994751,1919,53.36450958,1919,36.35829544,1919,25.68293762,1919,22.43958664,1919,60.94805527,
1918,77.89836121,1918,75.64421844,1918,52.73793411,1918,36.32067871,1918,25.88646698,1918,22.41707039,1918,61.31775284,
1917,77.62871552,1917,75.42069244,1917,52.10414505,1917,36.25986099,1917,25.74245071,1917,22.55164528,1917,61.11606216,
1916,77.62727356,1916,75.3212738,1916,51.57961273,1916,36.60129547,1916,25.92361259,1916,22.55128098,1916,61.22368622,
1915,77.57403564,1915,75.33260345,1915,50.74787903,1915,36.49176788,1915,25.99211121,1915,22.43882179,1915,60.9788475,
1914,77.49123383,1914,75.44565582,1914,50.15647888,1914,36.26709747,1914,25.93973351,1914,22.55228996,1914,61.0295105,
1913,77.69556427,1913,75.34768677,1913,49.46514893,1913,36.4275589,1913,25.83914757,1913,22.63250732,1913,61.09150696,
1912,77.50330353,1912,75.36219788,1912,48.72715378,1912,36.60687256,1912,26.02194786,1912,22.50577545,1912,61.12716675,
1911,77.47575378,1911,75.04856873,1911,48.0735817,1911,36.26015472,1911,25.9737072,1911,22.58802605,1911,60.94963455,
1910,77.58008575,1910,75.39164734,1910,47.48279953,1910,36.59595871,1910,25.84999275,1910,22.6397419,1910,61.04656982,
1909,77.4202652,1909,75.20550537,1909,46.94742203,1909,36.38135147,1909,25.9053669,1909,22.72191238,1909,61.01856995,
1908,77.63233948,1908,75.37089539,1908,46.20545959,1908,36.51888275,1908,25.88484955,1908,22.63638687,1908,61.16559982,
1907,77.70262146,1907,75.24129486,1907,45.74549866,1907,36.35191345,1907,26.06354713,1907,22.5591507,1907,61.21707153,
1906,77.45596313,1906,75.19682312,1906,44.88444519,1906,36.1563797,1906,25.90393639,1906,22.54232216,1906,61.15847778,
1905,77.26150513,1905,75.11249542,1905,44.31064606,1905,36.24528503,1905,25.80162621,1905,22.54344749,1905,61.04218292,
1904,77.5573349,1904,75.20384979,1904,43.74958038,1904,36.28414536,1904,26.06798172,1904,22.84711456,1904,61.03922653,
1903,77.46031952,1903,75.12392426,1903,43.52161789,1903,36.40679932,1903,25.83878326,1903,22.66210556,1903,61.19924927,
1902,77.24267578,1902,75.10748291,1902,42.74332428,1902,36.35506058,1902,25.72535896,1902,22.74414825,1902,60.96455002,
1901,77.43440247,1901,75.21379852,1901,42.42045593,1901,36.60128403,1901,25.91736603,1901,22.73029709,1901,61.11304855,
1900,77.50367737,1900,75.13150787,1900,41.79689026,1900,36.60570145,1900,25.84287834,1900,22.82608604,1900,61.11422729,
1899,77.56117249,1899,75.11503601,1899,41.50352859,1899,36.3778801,1899,25.89657593,1899,23.02348518,1899,61.08145905,
1898,77.44180298,1898,75.00630951,1898,40.84438324,1898,36.42695999,1898,25.77028847,1898,22.90625954,1898,61.18065643,
1897,77.39533234,1897,75.10066986,1897,40.33032227,1897,36.25234604,1897,25.91361618,1897,22.59597778,1897,61.13580322,
1896,77.44746399,1896,75.23859406,1896,40.17339706,1896,36.48348999,1896,25.87162781,1896,22.90560913,1896,61.13294983,
1895,77.12169647,1895,75.09783173,1895,39.69685364,1895,36.23089218,1895,25.92042732,1895,22.88079834,1895,61.23736954,
1894,77.33488464,1894,75.00587463,1894,39.27444077,1894,36.21871948,1894,25.90432739,1894,22.95108795,1894,61.05647659,
1893,77.5280304,1893,75.16283417,1893,38.97423553,1893,36.36980057,1893,25.76839638,1893,23.00731087,1893,61.21919632,
1892,77.37407684,1892,75.17604065,1892,38.63871765,1892,36.41884995,1892,25.76886749,1892,23.06399918,1892,61.02911377,
1891,77.40665436,1891,75.116745,1891,38.48438263,1891,36.26609421,1891,25.97205734,1891,22.86007309,1891,61.29650497,
1890,77.37548065,1890,75.22402954,1890,38.24979401,1890,36.37046051,1890,25.95498276,1890,23.00749207,1890,61.2195549,
1889,77.52553558,1889,75.08837891,1889,38.12091827,1889,36.51903152,1889,25.93179703,1889,23.25755119,1889,61.19878387,
1888,77.45637512,1888,75.14762115,1888,37.89123535,1888,36.39438629,1888,25.95785904,1888,23.22422791,1888,61.42493439,
1887,77.24362946,1887,75.15286255,1887,37.68112183,1887,36.41460419,1887,25.77668953,1887,23.01529884,1887,61.19790649,
1886,77.27000427,1886,74.99668884,1886,37.53923035,1886,36.32134247,1886,25.78331566,1886,23.08564377,1886,61.42874527,
1885,77.15431213,1885,75.02225494,1885,37.63991547,1885,36.30432892,1885,25.95639229,1885,23.16527176,1885,61.16363907,
1884,77.39683533,1884,74.97187042,1884,37.63967896,1884,36.46071625,1884,25.81177711,1884,23.38409615,1884,61.34632111,
1883,77.35271454,1883,75.12058258,1883,37.59033585,1883,36.27288437,1883,26.06966782,1883,23.22574615,1883,61.22351456,
1882,77.28569794,1882,74.86688232,1882,37.60280991,1882,36.39904404,1882,26.06877136,1882,23.22997856,1882,61.16559982,
1881,77.54264069,1881,74.98987579,1881,37.60608292,1881,36.58956528,1881,26.04231453,1881,23.29652786,1881,61.2514267,
1880,77.3494339,1880,75.13291168,1880,37.66854858,1880,36.44382477,1880,26.16726685,1880,23.29821014,1880,61.42503738,
1879,77.18013,1879,75.09122467,1879,37.49059677,1879,36.38962936,1879,25.90500069,1879,23.19917488,1879,61.27545929,
1878,77.14897156,1878,74.9682312,1878,37.67792511,1878,36.42188263,1878,25.86521149,1878,23.04327202,1878,61.21452332,
1877,77.3110199,1877,75.02359772,1877,37.94176483,1877,36.57787323,1877,26.02818871,1877,23.35030556,1877,61.14996719,
1876,77.34983826,1876,75.03977203,1876,38.00087357,1876,36.60726166,1876,25.88895798,1876,23.3834095,1876,61.44506836,
1875,77.25534821,1875,74.88106537,1875,38.06637955,1875,36.50611496,1875,25.8641758,1875,23.23025894,1875,61.22542572,
1874,77.30506134,1874,74.87800598,1874,38.4961319,1874,36.54131699,1874,26.06177902,1874,23.45323181,1874,61.54785919,
1873,77.1501236,1873,74.78211212,1873,38.40098572,1873,36.35087585,1873,25.99757385,1873,23.17887115,1873,61.40731049,
