crystalline_polished,,crystalline_nonpolished,,amorphous,,crystalline_coated,,crystalline_coated2,,crystalline_pyramid,,crystalline_black,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
1598,77.10417938,1598,74.70903778,1598,76.23573303,1598,38.58610535,1598,25.98726463,1598,25.2658062,1598,63.85133743,
1597,77.15414429,1597,74.74113464,1597,76.00014496,1597,38.67733002,1597,26.02218437,1597,25.30118752,1597,63.92424774,
1596,77.12850189,1596,74.68015289,1596,75.71315765,1596,38.66568375,1596,25.87937164,1596,25.31489754,1596,63.91929245,
1595,77.17264557,1595,74.78839111,1595,75.48970032,1595,38.71154022,1595,25.92751122,1595,25.31457329,1595,63.91891098,
1594,77.19232178,1594,74.78162384,1594,75.18095398,1594,38.74428177,1594,25.97938728,1594,25.32692528,1594,63.91146088,
1593,77.1606369,1593,74.73693848,1593,74.9466095,1593,38.67415619,1593,25.95898247,1593,25.31368446,1593,63.86422348,
1592,77.17616272,1592,74.76498413,1592,74.59307098,1592,38.67667007,1592,25.95918846,1592,25.33408356,1592,63.89479828,
1591,77.09550476,1591,74.63272858,1591,74.28552246,1591,38.71346664,1591,25.97165489,1591,25.24519348,1591,63.79216385,
1590,77.16564178,1590,74.82234192,1590,74.07600403,1590,38.73502731,1590,25.97455406,1590,25.32749557,1590,63.92711258,
1589,77.19327545,1589,74.76743317,1589,73.82643127,1589,38.80260849,1589,25.99791908,1589,25.3803215,1589,63.93418121,
1588,77.13744354,1588,74.72507477,1588,73.47419739,1588,38.77237701,1588,25.94754028,1588,25.36810303,1588,63.95837784,
1587,77.2225647,1587,74.74016571,1587,73.25680542,1587,38.76455307,1587,25.93898773,1587,25.37842941,1587,63.9956665,
1586,77.22781372,1586,74.79058838,1586,72.89712524,1586,38.80282211,1586,25.96471024,1586,25.41733742,1586,63.9930191,
1585,77.15484619,1585,74.72911835,1585,72.54285431,1585,38.75339508,1585,25.92603493,1585,25.3679657,1585,63.9784317,
1584,77.15019226,1584,74.75391388,1584,72.25332642,1584,38.77864838,1584,25.90809822,1584,25.35906219,1584,63.99557114,
1583,77.18706512,1583,74.72071838,1583,71.95943451,1583,38.79229736,1583,25.94899178,1583,25.39190292,1583,63.94271851,
1582,77.12807465,1582,74.75666046,1582,71.70201874,1582,38.81195068,1582,25.94796944,1582,25.39774513,1582,63.94729614,
1581,77.14471436,1581,74.75221252,1581,71.33590698,1581,38.79193115,1581,25.93686295,1581,25.40834618,1581,64.02778625,
1580,77.20275116,1580,74.71292114,1580,71.05322266,1580,38.8405304,1580,25.93679428,1580,25.43343925,1580,63.98419571,
1579,77.21276093,1579,74.76115417,1579,70.76587677,1579,38.8296051,1579,25.95062256,1579,25.43531609,1579,63.99839401,
1578,77.19996643,1578,74.70472717,1578,70.32752991,1578,38.76008606,1578,25.90977859,1578,25.45667839,1578,64.02091217,
1577,77.10520935,1577,74.77830505,1577,70.09076691,1577,38.82917023,1577,25.89431763,1577,25.46411514,1577,64.04747772,
1576,77.20853424,1576,74.73491669,1576,69.71015167,1576,38.79180908,1576,26.02788734,1576,25.46220779,1576,63.96829605,
1575,77.14125824,1575,74.7496109,1575,69.40679169,1575,38.91936111,1575,25.9537735,1575,25.44642448,1575,64.05079651,
1574,77.13298035,1574,74.69563293,1574,69.07395935,1574,38.83430481,1574,25.93156433,1574,25.46829033,1574,64.03488922,
1573,77.05137634,1573,74.66854095,1573,68.66439819,1573,38.84155655,1573,25.97141838,1573,25.43977165,1573,64.03175354,
1572,77.10021973,1572,74.6583786,1572,68.34252167,1572,38.84675598,1572,25.96029854,1572,25.48533058,1572,63.99543381,
1571,77.08866882,1571,74.70574951,1571,68.01217651,1571,38.84002686,1571,25.9670887,1571,25.46128654,1571,64.07439423,
1570,77.2281723,1570,74.77403259,1570,67.71038818,1570,38.93889236,1570,25.96193504,1570,25.52498627,1570,64.09674072,
1569,77.17075348,1569,74.75410461,1569,67.27825165,1569,38.90864182,1569,25.97582054,1569,25.57798958,1569,64.02657318,
1568,77.11605072,1568,74.78349304,1568,67.00572205,1568,38.87917709,1568,25.98084831,1568,25.54006958,1568,64.03505707,
1567,77.12081909,1567,74.74938965,1567,66.59218597,1567,38.90762711,1567,25.98046875,1567,25.50633621,1567,64.06879425,
1566,77.10153961,1566,74.77239227,1566,66.22409821,1566,38.90630722,1566,25.93499756,1566,25.56375885,1566,64.1065979,
1565,77.12275696,1565,74.71096039,1565,65.85826111,1565,38.87600327,1565,25.95105553,1565,25.55031395,1565,64.02535248,
1564,77.15567017,1564,74.77589417,1564,65.47798157,1564,38.91669083,1564,25.97106743,1564,25.56515121,1564,64.00932312,
1563,77.16959381,1563,74.66419983,1563,65.13931274,1563,38.91993332,1563,25.95463371,1563,25.5320015,1563,64.07513428,
1562,77.13319397,1562,74.70427704,1562,64.70780182,1562,38.93805313,1562,25.99009514,1562,25.57873154,1562,64.01218414,
1561,77.16587067,1561,74.69599152,1561,64.32813263,1561,38.9586792,1561,25.94125557,1561,25.53691292,1561,64.07682037,
1560,77.11820984,1560,74.71150208,1560,64.00115204,1560,38.95465851,1560,25.96320152,1560,25.63900375,1560,64.02531433,
1559,77.0761795,1559,74.69707489,1559,63.59703064,1559,38.91081238,1559,25.97626114,1559,25.6277504,1559,64.04711914,
1558,77.14849854,1558,74.75119019,1558,63.27850342,1558,38.95346069,1558,25.91767311,1558,25.67143059,1558,64.05605316,
1557,76.98635101,1557,74.67054749,1557,62.8248558,1557,38.9187851,1557,25.98899841,1557,25.55808067,1557,63.97278214,
1556,77.01702118,1556,74.63076019,1556,62.50442886,1556,38.90663528,1556,25.91554451,1556,25.63965607,1556,63.9754715,
1555,77.17504883,1555,74.81687164,1555,62.05935669,1555,39.01882553,1555,25.953228,1555,25.59571648,1555,64.10979462,
1554,77.13419342,1554,74.78543091,1554,61.63237762,1554,39.00225067,1554,25.9531498,1554,25.59977531,1554,64.03705597,
1553,77.18531799,1553,74.73860168,1553,61.27498245,1553,39.00235367,1553,25.99921608,1553,25.63512993,1553,64.12896729,
1552,77.11042786,1552,74.67332458,1552,60.88824844,1552,38.96582031,1552,25.95498657,1552,25.68638992,1552,64.09210968,
1551,77.10095215,1551,74.64446259,1551,60.44776535,1551,38.96954727,1551,25.87302399,1551,25.7173481,1551,64.10325623,
1550,77.13071442,1550,74.68118286,1550,60.08846664,1550,38.99671936,1550,25.95096016,1550,25.65626717,1550,64.05091095,
1549,77.10540771,1549,74.66576385,1549,59.66439056,1549,38.99285889,1549,25.96645927,1549,25.70076561,1549,64.05129242,
1548,77.07930756,1548,74.71794128,1548,59.29143524,1548,39.00803757,1548,25.98553848,1548,25.70457458,1548,64.01743317,
1547,77.09493256,1547,74.76254272,1547,58.85302353,1547,38.99614716,1547,25.92269135,1547,25.7468338,1547,64.04831696,
1546,77.18188477,1546,74.71492767,1546,58.42570496,1546,39.01980972,1546,25.96750641,1546,25.70055771,1546,64.09225464,
1545,77.11981964,1545,74.6905899,1545,58.04689026,1545,39.07634735,1545,25.94435501,1545,25.70959854,1545,64.08112335,
1544,77.18932343,1544,74.70384979,1544,57.60920715,1544,39.01778793,1544,25.98099327,1544,25.74144363,1544,64.07771301,
1543,77.09915924,1543,74.67577362,1543,57.13156891,1543,39.06578064,1543,25.90199471,1543,25.75198746,1543,64.04998016,
1542,77.11142731,1542,74.74760437,1542,56.75675964,1542,39.04081726,1542,25.95202637,1542,25.76490021,1542,64.09343719,
1541,77.09300995,1541,74.64546204,1541,56.33707809,1541,39.07312393,1541,25.97669411,1541,25.74892998,1541,64.08812714,
1540,77.14447021,1540,74.6741333,1540,55.85964203,1540,39.05109024,1540,25.93369484,1540,25.76360321,1540,64.02120972,
1539,77.10635376,1539,74.66893005,1539,55.42500687,1539,39.09407425,1539,25.95699692,1539,25.7834053,1539,64.07386017,
1538,77.10087585,1538,74.70531464,1538,55.05091095,1538,39.10793304,1538,25.95479584,1538,25.84879303,1538,64.08126068,
1537,77.06267548,1537,74.63277435,1537,54.55659103,1537,39.06243896,1537,25.90481567,1537,25.73807144,1537,64.0025177,
1536,77.02555084,1536,74.62520599,1536,54.15478516,1536,39.09589767,1536,25.95913124,1536,25.80723381,1536,64.1169281,
1535,77.14099884,1535,74.62908936,1535,53.65463638,1535,39.10569382,1535,25.94796371,1535,25.78637886,1535,64.03634644,
1534,77.14411926,1534,74.72431946,1534,53.27178192,1534,39.12246704,1534,25.92788887,1534,25.8302803,1534,64.11808777,
1533,77.13843536,1533,74.73318481,1533,52.76066208,1533,39.10390854,1533,25.96906471,1533,25.8346386,1533,64.13604736,
1532,77.13866425,1532,74.6933136,1532,52.3181839,1532,39.13012314,1532,25.92584801,1532,25.824646,1532,64.16510773,
1531,77.08348846,1531,74.6999588,1531,51.91703415,1531,39.13854599,1531,25.97753716,1531,25.90594673,1531,64.12788391,
1530,77.03607941,1530,74.70278931,1530,51.45032883,1530,39.13815689,1530,25.98671913,1530,25.89503479,1530,64.03567505,
1529,77.15801239,1529,74.65137482,1529,50.97552109,1529,39.14499283,1529,25.94670677,1529,25.88593102,1529,64.0386734,
1528,77.07850647,1528,74.66314697,1528,50.45714951,1528,39.1542244,1528,25.91694069,1528,25.91520309,1528,64.02754211,
1527,77.11149597,1527,74.6763382,1527,50.05023575,1527,39.16569519,1527,25.93099403,1527,25.92413712,1527,64.04137421,
1526,77.14845276,1526,74.65058136,1526,49.51961517,1526,39.17724609,1526,25.98561859,1526,25.87320518,1526,63.99204636,
1525,77.11723328,1525,74.70640564,1525,49.13499832,1525,39.15929794,1525,25.87353325,1525,25.99349403,1525,64.03335571,
1524,77.01302338,1524,74.66751862,1524,48.53063965,1524,39.19101715,1524,25.98110199,1524,25.96712494,1524,63.95141983,
1523,77.15858459,1523,74.70664978,1523,48.10572052,1523,39.19803619,1523,25.98376274,1523,25.88043594,1523,64.06011963,
1522,77.10002899,1522,74.71772766,1522,47.68710709,1522,39.15470505,1522,25.95071793,1522,25.91484261,1522,64.01537323,
1521,77.07339478,1521,74.66567993,1521,47.10269547,1521,39.12981033,1521,25.89278603,1521,25.95079803,1521,63.96042633,
1520,77.10569763,1520,74.72181702,1520,46.65654755,1520,39.18090057,1520,25.91091919,1520,25.94185829,1520,63.98283386,
1519,77.09593201,1519,74.74062347,1519,46.14464951,1519,39.1665802,1519,25.93932533,1519,25.95315361,1519,64.00215149,
1518,77.17414856,1518,74.76065063,1518,45.63055038,1518,39.09993362,1518,25.97764397,1518,26.01929283,1518,63.99602127,
1517,77.14139557,1517,74.68362427,1517,45.18379974,1517,39.25313187,1517,25.93270874,1517,25.9811554,1517,64.00807953,
1516,77.06464386,1516,74.67739868,1516,44.62039948,1516,39.16598892,1516,25.92414665,1516,26.00881195,1516,63.98531342,
1515,77.12814331,1515,74.73805237,1515,44.10264969,1515,39.22312927,1515,25.96285248,1515,25.96469307,1515,64.07995605,
1514,77.05381012,1514,74.66712952,1514,43.59627533,1514,39.19397736,1514,25.92269707,1514,25.87963867,1514,63.94630051,
1513,77.05752563,1513,74.73614502,1513,43.07578278,1513,39.25629807,1513,25.94422913,1513,25.95614815,1513,63.99232101,
1512,77.10505676,1512,74.77929688,1512,42.61727524,1512,39.24787521,1512,25.90900612,1512,25.9684391,1512,63.94122314,
1511,77.11967468,1511,74.73480988,1511,42.12845993,1511,39.24134445,1511,25.90743256,1511,26.01365089,1511,63.97392273,
1510,77.23897552,1510,74.70859528,1510,41.56486511,1510,39.26111603,1510,26.01665497,1510,26.03976822,1510,63.92033768,
1509,77.16287231,1509,74.73492432,1509,41.00460815,1509,39.26302338,1509,25.96399689,1509,26.03621864,1509,63.94831085,
1508,77.08925629,1508,74.6938324,1508,40.39849091,1508,39.25632095,1508,25.95796967,1508,26.03206635,1508,63.91671753,
1507,77.07083893,1507,74.64056396,1507,39.86816025,1507,39.24058151,1507,25.95585823,1507,25.98566055,1507,63.88383484,
1506,77.01455688,1506,74.60342407,1506,39.34465408,1506,39.22299576,1506,25.89809799,1506,26.0204258,1506,63.90029144,
1505,77.08840942,1505,74.61273956,1505,38.81841278,1505,39.23497009,1505,25.95370102,1505,26.04748344,1505,63.97454071,
1504,77.01371002,1504,74.65137482,1504,38.25283813,1504,39.22539902,1504,25.93388176,1504,25.99248505,1504,63.83808136,
1503,77.12147522,1503,74.7137146,1503,37.72449493,1503,39.29872894,1503,25.95007324,1503,26.00963211,1503,63.89828491,
1502,77.14620209,1502,74.66706848,1502,37.17301941,1502,39.28126907,1502,25.9333725,1502,26.03385544,1502,63.91403198,
1501,77.1230011,1501,74.70627594,1501,36.5785408,1501,39.26055908,1501,25.93756104,1501,26.01296997,1501,63.86515045,
1500,77.1340332,1500,74.68106079,1500,36.02557373,1500,39.25054169,1500,25.90797615,1500,26.03930855,1500,63.90546417,
1499,77.04282379,1499,74.65859985,1499,35.45463181,1499,39.28786087,1499,25.91853714,1499,26.03957939,1499,63.83745193,
1498,77.11676025,1498,74.6917572,1498,34.91769791,1498,39.24638748,1498,25.92636108,1498,26.0152607,1498,63.8558197,
1497,77.01876068,1497,74.62541962,1497,34.26187515,1497,39.25619888,1497,25.81894684,1497,26.08217621,1497,63.74702454,
1496,77.11386871,1496,74.73868561,1496,33.80141068,1496,39.32664871,1496,25.99832153,1496,26.0663414,1496,63.78753662,
1495,77.10542297,1495,74.68605804,1495,33.14416885,1495,39.29624939,1495,25.87476921,1495,26.13413239,1495,63.79957962,
1494,77.10459137,1494,74.66316986,1494,32.65915298,1494,39.32863617,1494,25.91652489,1494,26.04550362,1494,63.79169083,
1493,77.17836761,1493,74.72181702,1493,32.10656357,1493,39.30861282,1493,25.95359421,1493,26.07490349,1493,63.76498413,
1492,77.17175293,1492,74.74854279,1492,31.53949738,1492,39.33235168,1492,25.95263481,1492,26.06361771,1492,63.81203079,
1491,77.05799103,1491,74.68091583,1491,30.85679054,1491,39.33261871,1491,25.93751526,1491,26.11728859,1491,63.77726364,
1490,77.11048126,1490,74.75361633,1490,30.37928963,1490,39.32730103,1490,25.9023037,1490,26.16797638,1490,63.81266022,
1489,77.15114594,1489,74.71004486,1489,29.87577057,1489,39.35939026,1489,25.89575958,1489,26.07886124,1489,63.74370575,
1488,77.09763336,1488,74.71200562,1488,29.35137367,1488,39.34530258,1488,25.90643501,1488,26.12997627,1488,63.74132538,
1487,77.05801392,1487,74.62110901,1487,28.70517921,1487,39.32998657,1487,25.95181847,1487,26.13994217,1487,63.71613312,
1486,77.12229156,1486,74.67564392,1486,28.16395378,1486,39.31915283,1486,25.8920517,1486,26.12308311,1486,63.72605515,
1485,77.10814667,1485,74.66557312,1485,27.6656208,1485,39.35826492,1485,25.90435219,1485,26.12877464,1485,63.75570297,
1484,77.08547974,1484,74.69345856,1484,27.08258247,1484,39.42034531,1484,25.90516472,1484,26.0997715,1484,63.74654007,
1483,77.18746948,1483,74.6727829,1483,26.54722977,1483,39.38230133,1483,25.92335892,1483,26.21627235,1483,63.77472305,
1482,77.14269257,1482,74.67049408,1482,26.07578278,1482,39.39720917,1482,25.84442711,1482,26.15704918,1482,63.70440674,
1481,77.06376648,1481,74.66046143,1481,25.53269958,1481,39.40320587,1481,25.90347862,1481,26.17264366,1481,63.72591782,
1480,77.10019684,1480,74.68772125,1480,25.07424927,1480,39.41680145,1480,25.94231987,1480,26.17850685,1480,63.66500854,
1479,77.02261353,1479,74.58234406,1479,24.52211952,1479,39.36794281,1479,25.87673569,1479,26.20041084,1479,63.6696701,
1478,76.98970032,1478,74.5274353,1478,23.97777748,1478,39.32442474,1478,25.80084419,1478,26.1308403,1478,63.57539749,
1477,77.00880432,1477,74.61940002,1477,23.54190445,1477,39.40608215,1477,25.87916565,1477,26.1287384,1477,63.6701355,
1476,77.05493927,1476,74.63401031,1476,23.08508682,1476,39.38708496,1476,25.94064522,1476,26.22296906,1476,63.61206818,
1475,77.21678925,1475,74.70155334,1475,22.69007301,1475,39.41179276,1475,25.91934204,1475,26.24508476,1475,63.748806,
1474,77.2526474,1474,74.76423645,1474,22.18358994,1474,39.46947479,1474,25.83867645,1474,26.24412155,1474,63.71191788,
1473,77.12062836,1473,74.77935791,1473,21.84679985,1473,39.46051407,1473,25.89402199,1473,26.2703476,1473,63.71824265,
1472,77.16133118,1472,74.78356934,1472,21.3636055,1472,39.51026154,1472,25.9442482,1472,26.3007431,1472,63.70521164,
1471,77.0917511,1471,74.69737244,1471,21.03282166,1471,39.48112106,1471,25.88428879,1471,26.24904823,1471,63.68353271,
1470,77.0783844,1470,74.63296509,1470,20.63392639,1470,39.46027374,1470,25.87625885,1470,26.22951889,1470,63.6293869,
1469,77.15063477,1469,74.71104431,1469,20.2962532,1469,39.49633408,1469,25.94438744,1469,26.31088829,1469,63.68222809,
1468,77.0424118,1468,74.66483307,1468,19.94535255,1468,39.46559525,1468,25.884655,1468,26.28526115,1468,63.53705978,
1467,77.03477478,1467,74.62619019,1467,19.66689682,1467,39.45909882,1467,25.88836479,1467,26.3146019,1467,63.56384277,
1466,77.03539276,1466,74.59848022,1466,19.32959175,1466,39.43635941,1466,25.87337875,1466,26.28780556,1466,63.54588318,
1465,77.12044525,1465,74.62862396,1465,19.10172462,1465,39.46842575,1465,25.8771534,1465,26.28413963,1465,63.54752731,
1464,77.10326385,1464,74.69146729,1464,18.83009911,1464,39.49418259,1464,25.90945435,1464,26.28445625,1464,63.60136795,
1463,77.12442017,1463,74.67685699,1463,18.65048218,1463,39.44229507,1463,25.89753532,1463,26.2678318,1463,63.58191299,
1462,77.07098389,1462,74.65074921,1462,18.35538483,1462,39.46512985,1462,25.92895126,1462,26.37257957,1462,63.48701859,
1461,77.09534454,1461,74.67665863,1461,18.2905407,1461,39.46317291,1461,25.87468338,1461,26.3384552,1461,63.52212906,
1460,77.15549469,1460,74.65531921,1460,18.13396835,1460,39.49188995,1460,25.8852787,1460,26.38366508,1460,63.54899597,
1459,77.07210541,1459,74.73885345,1459,18.020298,1459,39.46043015,1459,25.86752701,1459,26.33295631,1459,63.56892395,
1458,77.07388306,1458,74.626091,1458,17.93538857,1458,39.49752426,1458,25.91706848,1458,26.37005234,1458,63.50639343,
1457,77.08135223,1457,74.66985321,1457,17.90197945,1457,39.46208191,1457,25.91349792,1457,26.35513496,1457,63.50147629,
1456,77.0870285,1456,74.66126251,1456,17.89604759,1456,39.50823212,1456,25.90114212,1456,26.43034172,1456,63.50073242,
1455,77.03891754,1455,74.58879852,1455,17.8525753,1455,39.48625183,1455,25.92669487,1455,26.40408516,1455,63.50554276,
1454,77.12384796,1454,74.72195435,1454,17.9584198,1454,39.56483459,1454,25.9081955,1454,26.42247009,1454,63.43275833,
1453,77.02798462,1453,74.61491394,1453,17.99570465,1453,39.52728653,1453,25.91394424,1453,26.38562012,1453,63.42078018,
1452,77.05912018,1452,74.70156097,1452,18.2004528,1452,39.45866394,1452,25.89419556,1452,26.46567917,1452,63.44404221,
1451,77.0852356,1451,74.65506744,1451,18.2847538,1451,39.50199127,1451,25.89082336,1451,26.4325676,1451,63.36309433,
1450,77.07286835,1450,74.65969849,1450,18.51288605,1450,39.50080872,1450,25.83872414,1450,26.44037819,1450,63.38250732,
1449,77.11269379,1449,74.66915131,1449,18.63999557,1449,39.56166458,1449,25.89455223,1449,26.43509293,1449,63.38343811,
1448,77.09712982,1448,74.63681793,1448,18.92320633,1448,39.5448494,1448,25.86402321,1448,26.46449852,1448,63.36957932,
1447,77.14143372,1447,74.73429108,1447,19.23820877,1447,39.5459137,1447,25.94366646,1447,26.53649521,1447,63.37372208,
1446,77.07590485,1446,74.65664673,1446,19.55220604,1446,39.55708313,1446,25.88249207,1446,26.46668625,1446,63.31343842,
1445,77.08716583,1445,74.57968903,1445,19.85985374,1445,39.55516052,1445,25.92524529,1445,26.51516533,1445,63.29892731,
1444,76.9991684,1444,74.62690735,1444,20.24840355,1444,39.4868927,1444,25.90267944,1444,26.55525589,1444,63.27813721,
1443,77.02008057,1443,74.59580231,1443,20.63699913,1443,39.58919525,1443,25.90650368,1443,26.60762024,1443,63.27943039,
1442,76.98730469,1442,74.54243469,1442,21.10357285,1442,39.51870346,1442,25.95096779,1442,26.57760048,1442,63.18189621,
1441,76.9991684,1441,74.64003754,1441,21.56778717,1441,39.50384521,1441,25.86951256,1441,26.60559082,1441,63.2664032,
1440,77.09294891,1440,74.60975647,1440,22.070158,1440,39.55413818,1440,25.91259384,1440,26.57442474,1440,63.26851273,
1439,77.03098297,1439,74.60459137,1439,22.56417847,1439,39.49645996,1439,25.92698669,1439,26.6087532,1439,63.19810104,
1438,76.99207306,1438,74.58584595,1438,23.17448616,1438,39.49865341,1438,25.89181137,1438,26.60216331,1438,63.16987228,
1437,77.05700684,1437,74.63147736,1437,23.73150063,1437,39.47577667,1437,25.86424065,1437,26.5568409,1437,63.17282867,
1436,76.99045563,1436,74.56378937,1436,24.34189224,1436,39.47927094,1436,25.91667175,1436,26.64060593,1436,63.10081482,
1435,77.06609344,1435,74.70168304,1435,25.01371002,1435,39.56271744,1435,25.90034676,1435,26.68378067,1435,63.10638809,
1434,77.10292053,1434,74.62088013,1434,25.62147141,1434,39.5170517,1434,25.88356209,1434,26.66706657,1434,63.15850449,
1433,76.8738327,1433,74.5151062,1433,26.28973389,1433,39.44509506,1433,25.83036423,1433,26.59399796,1433,62.93823624,
1432,76.91899872,1432,74.43444824,1432,26.96750259,1432,39.43619919,1432,25.89929962,1432,26.5789814,1432,63.00290298,
1431,76.95456696,1431,74.60137939,1431,27.69349861,1431,39.45174408,1431,25.87017059,1431,26.7332592,1431,63.15579224,
1430,76.92565155,1430,74.4901886,1430,28.41564751,1430,39.48049164,1430,25.84786415,1430,26.6264801,1430,63.12250519,
1429,77.01696777,1429,74.59799194,1429,29.19307709,1429,39.53614044,1429,25.8984623,1429,26.75414467,1429,63.04771805,
1428,76.97423553,1428,74.56007385,1428,30.03482246,1428,39.59084702,1428,25.84566498,1428,26.71275139,1428,63.05869293,
1427,77.12267303,1427,74.58883667,1427,30.76379395,1427,39.5541954,1427,25.88553429,1427,26.83016586,1427,62.99345016,
1426,77.08708954,1426,74.50856781,1426,31.55075836,1426,39.51004028,1426,25.87395859,1426,26.76142693,1426,62.98573685,
1425,77.12003326,1425,74.49368286,1425,32.35046005,1425,39.4920845,1425,25.91363716,1425,26.75706673,1425,62.92420197,
1424,77.05915833,1424,74.54093933,1424,33.15196991,1424,39.54058075,1424,25.90610123,1424,26.8463459,1424,62.97646713,
1423,76.97666931,1423,74.60759735,1423,33.99858475,1423,39.53022385,1423,25.91538429,1423,26.84500885,1423,63.01174164,
1422,76.98194122,1422,74.55296326,1422,34.81822205,1422,39.56576157,1422,25.92228889,1422,26.86261749,1422,62.95856857,
1421,77.00924683,1421,74.57384491,1421,35.64894485,1421,39.47639465,1421,25.88007736,1421,26.85363579,1421,62.91247177,
1420,76.95109558,1420,74.56288147,1420,36.46923828,1420,39.52881622,1420,25.88706589,1420,26.97114372,1420,62.89249039,
1419,77.04544067,1419,74.60140228,1419,37.27577591,1419,39.51342773,1419,25.94308853,1419,26.84977913,1419,62.86354065,
1418,76.92016602,1418,74.48901367,1418,38.09777832,1418,39.52074814,1418,25.84166145,1418,26.91287422,1418,62.82891464,
1417,77.03335571,1417,74.57818604,1417,38.94348907,1417,39.56876373,1417,25.91566467,1417,26.96055412,1417,62.81767654,
1416,76.91181946,1416,74.44741821,1416,39.77832794,1416,39.50209808,1416,25.90359497,1416,26.9115181,1416,62.75308228,
1415,77.00814819,1415,74.52619934,1415,40.62217331,1415,39.56676865,1415,25.86769485,1415,26.91996384,1415,62.84713745,
1414,76.93651581,1414,74.50502014,1414,41.44396973,1414,39.5110054,1414,25.91791725,1414,26.97288895,1414,62.76428223,
1413,76.92836761,1413,74.48527527,1413,42.26412201,1413,39.53411484,1413,25.95751953,1413,27.00871849,1413,62.77397919,
1412,76.97447968,1412,74.5158844,1412,43.07945251,1412,39.52346039,1412,25.91337013,1412,27.05910873,1412,62.71108246,
1411,76.9418869,1411,74.4199295,1411,43.90950775,1411,39.4449234,1411,25.88303757,1411,27.04449272,1411,62.63143921,
1410,76.94792175,1410,74.44217682,1410,44.69071579,1410,39.49025345,1410,25.88197899,1410,27.0572567,1410,62.6839447,
1409,76.84812164,1409,74.45739746,1409,45.47274399,1409,39.51668549,1409,25.89310074,1409,27.09382439,1409,62.57946014,
1408,76.89933014,1408,74.43644714,1408,46.27334595,1408,39.52505493,1408,25.91153145,1408,27.12569809,1408,62.63122559,
1407,76.91445923,1407,74.41136169,1407,47.05864334,1407,39.55484772,1407,25.87096405,1407,27.09919739,1407,62.59947586,
1406,76.90087891,1406,74.45005035,1406,47.81921387,1406,39.47156525,1406,25.91842079,1406,27.09765053,1406,62.55866241,
1405,76.83584595,1405,74.40048218,1405,48.61709976,1405,39.53575134,1405,25.90590477,1405,27.11518097,1405,62.56518555,
1404,76.99330902,1404,74.48917389,1404,49.42240524,1404,39.55676651,1404,25.92015839,1404,27.20977592,1404,62.53973389,
1403,76.85353088,1403,74.36763763,1403,50.08054352,1403,39.53149796,1403,25.84630203,1403,27.16146088,1403,62.46403885,
1402,76.88178253,1402,74.43790436,1402,50.95872116,1402,39.50124741,1402,25.85642052,1402,27.18093681,1402,62.53434372,
1401,76.87267303,1401,74.38002014,1401,51.54462433,1401,39.51081848,1401,25.90561485,1401,27.19239807,1401,62.48173523,
1400,76.83447266,1400,74.42066956,1400,52.30249786,1400,39.47487259,1400,25.86228943,1400,27.17951775,1400,62.40704727,
1399,76.9054718,1399,74.36831665,1399,53.054142,1399,39.46088791,1399,25.86191559,1399,27.1618576,1399,62.39346313,
1398,76.83673859,1398,74.3585434,1398,53.77904129,1398,39.46369553,1398,25.87751198,1398,27.26391792,1398,62.38706589,
1397,76.86079407,1397,74.38078308,1397,54.49137878,1397,39.54587936,1397,25.83612823,1397,27.27121735,1397,62.40379715,
1396,76.79951477,1396,74.34751129,1396,55.19239807,1396,39.46977615,1396,25.88601112,1396,27.27311325,1396,62.33021164,
1395,76.76397705,1395,74.31621552,1395,55.80908203,1395,39.50596619,1395,25.88693428,1395,27.3127327,1395,62.28219986,
1394,76.81869507,1394,74.35292053,1394,56.44866943,1394,39.52914047,1394,25.90488243,1394,27.28268433,1394,62.3742981,
1393,76.88900757,1393,74.33470154,1393,57.0267868,1393,39.5096283,1393,25.87594032,1393,27.29546356,1393,62.27777481,
1392,76.75956726,1392,74.33595276,1392,57.71435547,1392,39.44028091,1392,25.86164856,1392,27.31651688,1392,62.23522568,
1391,76.80633545,1391,74.3273468,1391,58.36222076,1391,39.47933578,1391,25.90843773,1391,27.39631271,1391,62.33907318,
1390,76.71342468,1390,74.3640213,1390,58.89804459,1390,39.49442673,1390,25.85965729,1390,27.31604195,1390,62.26355362,
1389,76.72462463,1389,74.23135376,1389,59.47893906,1389,39.53923798,1389,25.8263588,1389,27.33375931,1389,62.25429153,
1388,76.85295105,1388,74.31338501,1388,60.08246613,1388,39.58625412,1388,25.88405991,1388,27.39429092,1388,62.38371277,
1387,76.71937561,1387,74.26350403,1387,60.56037521,1387,39.56829834,1387,25.83674431,1387,27.31828117,1387,62.33385849,
1386,76.74219513,1386,74.34356689,1386,61.21530533,1386,39.5555954,1386,25.91590881,1386,27.38332367,1386,62.42200089,
1385,76.75938416,1385,74.24340057,1385,61.80144501,1385,39.71969986,1385,25.89610291,1385,27.37426758,1385,62.39923096,
1384,76.77642059,1384,74.23856354,1384,62.32640076,1384,39.62585068,1384,25.83119965,1384,27.43897057,1384,62.51042557,
1383,76.75732422,1383,74.20614624,1383,62.88735199,1383,39.65380096,1383,25.85633659,1383,27.33286667,1383,62.5201149,
